Timestamp;Server;Groups;PingStatus;Latency;Jitter;Loss;Port53;Port853;Version;Recursion;EDNS;Cookie;DNSSEC;DoH;TLS
2025-12-21 22:31:41;192.203.230.10;ROOT_SERVERS;OK;16.769;2.581;0;OPEN;CLOSED;REVEALED;CLOSED;OK;ABSENT;NA;FAIL;FAIL
2025-12-21 22:31:53;198.41.0.4;ROOT_SERVERS;SLOW;165.586;2.919;0;OPEN;CLOSED;REVEALED;CLOSED;OK;ABSENT;NA;FAIL;FAIL
2025-12-21 22:31:56;208.67.220.220;OPENDNS;OK;27.431;2.122;0;OPEN;OPEN;HIDDEN;OPEN;OK;ABSENT;OK;OK;OK
2025-12-21 22:31:59;8.8.4.4;GOOGLE;OK;26.023;1.570;0;OPEN;OPEN;HIDDEN;OPEN;OK;ABSENT;OK;OK;OK
2025-12-21 22:32:01;1.1.1.1;CLOUDFLARE;OK;19.573;10.425;0;OPEN;OPEN;HIDDEN;OPEN;OK;ABSENT;OK;OK;OK
2025-12-21 22:32:13;198.97.190.53;ROOT_SERVERS;OK;54.600;2.151;0;OPEN;CLOSED;REVEALED;CLOSED;OK;ABSENT;NA;FAIL;FAIL
2025-12-21 22:32:25;192.36.148.17;ROOT_SERVERS;SLOW;183.074;2.959;0;OPEN;CLOSED;REVEALED;CLOSED;OK;OK;NA;FAIL;FAIL
2025-12-21 22:32:27;9.9.9.9;QUAD9;OK;15.017;2.811;0;OPEN;OPEN;REVEALED;OPEN;OK;ABSENT;OK;OK;OK
2025-12-21 22:32:44;192.112.36.4;ROOT_SERVERS;DOWN;0;0;100;OPEN;CLOSED;HIDDEN;CLOSED;OK;OK;NA;FAIL;FAIL
2025-12-21 22:32:46;8.8.8.8;GOOGLE;OK;33.769;1.309;0;OPEN;OPEN;HIDDEN;OPEN;OK;ABSENT;OK;OK;OK
2025-12-21 22:32:59;192.58.128.30;ROOT_SERVERS;SLOW;162.006;2.375;0;OPEN;CLOSED;REVEALED;CLOSED;OK;ABSENT;NA;FAIL;FAIL
2025-12-21 22:33:05;199.9.14.201;ROOT_SERVERS;SLOW;178.029;1.919;0;OPEN;OPEN;REVEALED;CLOSED;OK;ABSENT;NA;FAIL;OK
2025-12-21 22:33:17;193.0.14.129;ROOT_SERVERS;SLOW;220.725;7.334;0;OPEN;CLOSED;REVEALED;CLOSED;OK;ABSENT;NA;FAIL;FAIL
2025-12-21 22:33:28;192.5.5.241;ROOT_SERVERS;OK;15.310;0.970;0;OPEN;CLOSED;REVEALED;CLOSED;OK;ABSENT;NA;FAIL;FAIL
2025-12-21 22:33:31;208.67.222.222;OPENDNS;OK;28.451;1.242;0;OPEN;OPEN;HIDDEN;OPEN;OK;ABSENT;OK;OK;OK
2025-12-21 22:33:43;202.12.27.33;ROOT_SERVERS;OK;39.824;0.943;0;OPEN;CLOSED;REVEALED;CLOSED;OK;ABSENT;NA;FAIL;FAIL
2025-12-21 22:33:54;199.7.83.42;ROOT_SERVERS;OK;53.589;2.230;0;OPEN;CLOSED;REVEALED;CLOSED;OK;ABSENT;NA;FAIL;FAIL
2025-12-21 22:34:06;199.7.91.13;ROOT_SERVERS;SLOW;153.677;1.021;0;OPEN;CLOSED;REVEALED;CLOSED;OK;ABSENT;NA;FAIL;FAIL
2025-12-21 22:34:08;1.0.0.1;CLOUDFLARE;OK;11.513;2.946;0;OPEN;OPEN;HIDDEN;OPEN;OK;ABSENT;OK;OK;OK
2025-12-21 22:34:11;149.112.112.112;QUAD9;OK;11.161;1.374;0;OPEN;OPEN;REVEALED;OPEN;OK;ABSENT;OK;OK;OK
2025-12-21 22:34:23;192.33.4.12;ROOT_SERVERS;SLOW;140.857;0.501;0;OPEN;CLOSED;REVEALED;CLOSED;OK;OK;NA;FAIL;FAIL
